School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,VCE Median Study Score,Percentage of study scores of 40 and over
Ozford College,MELBOURNE,3000,48785.0,33314.0,21.0,1.2
Holmes Secondary College,MELBOURNE,3000,48785.0,33314.0,28.0,1.9
Simonds Catholic College,WEST MELBOURNE,3003,61806.0,50578.0,31.0,9.0
Wesley College,MELBOURNE,3004,77647.0,62323.0,32.0,10.0
Wesley College,MELBOURNE,3004,77647.0,62323.0,30.0,5.9
Melbourne Grammar School,MELBOURNE,3004,77647.0,62323.0,34.0,23.4
Footscray High School,FOOTSCRAY,3011,61098.0,53073.0,28.0,3.4
Williamstown High School,WILLIAMSTOWN,3016,84139.0,64270.0,31.0,10.9
Altona College,ALTONA,3018,71935.0,63268.0,29.0,0.0
Braybrook College,BRAYBROOK,3019,48590.0,44304.0,31.0,9.4
Sunshine College,SUNSHINE,3020,49665.0,45673.0,27.0,2.0
St Albans Secondary College,ST ALBANS,3021,46328.0,44109.0,30.0,7.7
Catholic Regional College,ST ALBANS,3021,46328.0,44109.0,28.0,2.0
Catholic Regional College,ST ALBANS,3021,46328.0,44109.0,29.0,3.7
Lakeview Senior College,CAROLINE SPRINGS,3023,58317.0,53412.0,28.0,5.1
Southern Cross Grammar,CAROLINE SPRINGS,3023,58317.0,53412.0,29.0,6.4
Manor Lakes P-12 College,WYNDHAM VALE,3024,58736.0,54108.0,23.0,2.1
Bayside P-12 College,ALTONA NORTH,3025,66120.0,58725.0,29.0,4.0
Mount St Joseph Girls' College,ALTONA NORTH,3025,66120.0,58725.0,31.0,8.6
Emmanuel College,ALTONA NORTH,3025,66120.0,58725.0,29.0,3.8
Emmanuel College,ALTONA NORTH,3025,66120.0,58725.0,27.0,3.1
Laverton P-12 College,LAVERTON,3028,57827.0,52940.0,22.0,0.7
Tarneit Senior College,TARNEIT,3029,55780.0,51336.0,24.0,1.3
Al-Taqwa College,HOPPERS CROSSING,3029,55780.0,51336.0,27.0,3.1
Thomas Carr College,TARNEIT,3029,55780.0,51336.0,26.0,2.4
Islamic College of Melbourne,TARNEIT,3029,55780.0,51336.0,30.0,5.8
Werribee Secondary College,WERRIBEE,3030,63468.0,55776.0,30.0,5.6
The Grange P-12 College,WERRIBEE,3030,63468.0,55776.0,24.0,1.6
Suzanne Cory High School,WERRIBEE,3030,63468.0,55776.0,34.0,19.0
Westbourne Grammar School,WERRIBEE,3030,63468.0,55776.0,34.0,15.4
Westbourne Grammar School,WERRIBEE,3030,63468.0,55776.0,34.0,15.4
Heathdale Christian College,WERRIBEE,3030,63468.0,55776.0,29.0,4.3
Good News Lutheran College,WERRIBEE,3030,63468.0,55776.0,26.0,0.8
Copperfield College,DELAHEY,3037,58983.0,53275.0,27.0,2.2
Gilson College,TAYLORS HILL,3037,58983.0,53275.0,28.0,4.0
Gilson College,TAYLORS HILL,3037,58983.0,53275.0,26.0,6.5
