,School Name,School Type,Locality_x,Postcode,Average Income in Postcode ,Locality_y,VCE median study score,Percentage of study scores of 40 and over
0,Stott's Colleges,Secondary,MELBOURNE,3000,48785.0,,,
1,Ozford College,Secondary,MELBOURNE,3000,48785.0,MELBOURNE,21.0,1.2
2,Holmes Secondary College,Secondary,MELBOURNE,3000,48785.0,MELBOURNE,28.0,1.9
3,Simonds Catholic College,Secondary,WEST MELBOURNE,3003,61806.0,FITZROY NORTH,31.0,9.0
4,MacRobertson Girls High School,Secondary,MELBOURNE,3004,77647.0,,,
5,Victorian College Of The Arts Secondary School,Secondary,SOUTHBANK,3006,68832.0,,,
6,Footscray High School,Secondary,FOOTSCRAY,3011,61098.0,FOOTSCRAY,28.0,3.4
7,Williamstown High School,Secondary,WILLIAMSTOWN,3016,84139.0,WILLIAMSTOWN,31.0,10.9
8,Braybrook College,Secondary,BRAYBROOK,3019,48590.0,BRAYBROOK,31.0,9.4
9,Caroline Chisholm Catholic College,Secondary,BRAYBROOK,3019,48590.0,,,
10,Sunshine College,Secondary,SUNSHINE,3020,49665.0,SUNSHINE WEST,27.0,2.0
11,Marian College,Secondary,SUNSHINE WEST,3020,49665.0,,,
12,St Albans Secondary College,Secondary,ST ALBANS,3021,46328.0,ST ALBANS,30.0,7.7
13,Victoria University Secondary College,Secondary,ST. ALBANS,3021,46328.0,,,
14,Catholic Regional College,Secondary,ST ALBANS,3021,46328.0,CAROLINE SPRINGS,,
15,Catholic Regional College,Secondary,ST ALBANS,3021,46328.0,MELTON WEST,28.0,2.0
16,Catholic Regional College,Secondary,ST ALBANS,3021,46328.0,SYDENHAM,29.0,3.7
17,Lakeview Senior College,Secondary,CAROLINE SPRINGS,3023,58317.0,CAROLINE SPRINGS,28.0,5.1
18,Catholic Regional College Caroline Springs,Secondary,CAROLINE SPRINGS,3023,58317.0,,,
19,Mount St Joseph Girls' College,Secondary,ALTONA NORTH,3025,66120.0,ALTONA,31.0,8.6
20,Emmanuel College,Secondary,ALTONA NORTH,3025,66120.0,ALTONA NORTH,29.0,3.8
21,Emmanuel College,Secondary,ALTONA NORTH,3025,66120.0,WARRNAMBOOL,27.0,3.1
22,Hoppers Crossing Secondary College,Secondary,HOPPERS CROSSING,3029,55780.0,,,
23,Tarneit Senior College,Secondary,TARNEIT,3029,55780.0,TARNEIT,24.0,1.3
24,Thomas Carr College,Secondary,TARNEIT,3029,55780.0,TARNEIT,26.0,2.4
25,Wyndham Central Secondary College,Secondary,WERRIBEE,3030,63468.0,,,
26,Homestead Senior Secondary College,Secondary,POINT COOK,3030,63468.0,,,
27,Werribee Secondary College,Secondary,WERRIBEE,3030,63468.0,WERRIBEE,30.0,5.6
28,Point Cook Senior Secondary College,Secondary,POINT COOK,3030,63468.0,,,
29,Suzanne Cory High School,Secondary,WERRIBEE,3030,63468.0,WERRIBEE,34.0,19.0
30,MacKillop Catholic Regional College,Secondary,WERRIBEE,3030,63468.0,,,
31,Mount Alexander 7-12 College,Secondary,FLEMINGTON,3031,72119.0,,,
32,Kensington Community High School,Secondary,FLEMINGTON,3031,72119.0,,,
33,Maribyrnong Secondary College,Secondary,MARIBYRNONG,3032,69388.0,,,
34,Copperfield College,Secondary,DELAHEY,3037,58983.0,DELAHEY,27.0,2.2
35,Catholic Regional College Institute of Training,Secondary,SYDENHAM,3037,58983.0,,,
36,Keilor Downs Secondary College,Secondary,TAYLORS LAKES,3038,60255.0,,,
37,Taylors Lakes Secondary College,Secondary,TAYLORS LAKES,3038,60255.0,,,
38,Catholic Regional College North Keilor,Secondary,TAYLORS LAKES,3038,60255.0,,,
39,Buckley Park College,Secondary,ESSENDON,3040,73488.0,ESSENDON,30.0,7.3
40,St Columba's College,Secondary,ESSENDON,3040,73488.0,ESSENDON,33.0,13.1
41,St Bernard's College,Secondary,ESSENDON,3040,73488.0,ESSENDON,30.0,6.0
42,Ave Maria College,Secondary,ABERFELDIE,3040,73488.0,ABERFELDIE,32.0,9.1
43,Strathmore Secondary College,Secondary,STRATHMORE,3041,71870.0,STRATHMORE,30.0,5.3
44,Rosehill Secondary College,Secondary,NIDDRIE,3042,66384.0,NIDDRIE,29.0,2.8
45,Essendon Keilor College,Secondary,NIDDRIE,3042,66384.0,ESSENDON,24.0,1.2
46,Gladstone Park Secondary College,Secondary,GLADSTONE PARK,3043,59907.0,,,
47,Pascoe Vale Girls Secondary College,Secondary,OAK PARK,3046,57071.0,,,
48,Glenroy Secondary College,Secondary,GLENROY,3046,57071.0,GLENROY,20.0,0.7
49,Penola Catholic College,Secondary,GLENROY,3046,57071.0,BROADMEADOWS,27.0,1.0
50,Hume Central Secondary College,Secondary,DALLAS,3047,43778.0,,,
51,St Aloysius College,Secondary,NORTH MELBOURNE,3051,63344.0,NORTH MELBOURNE,32.0,8.8
52,University High School,Secondary,PARKVILLE,3052,61494.0,PARKVILLE,32.0,13.3
53,Princes Hill Secondary College,Secondary,PRINCES HILL,3054,73916.0,,,
54,Sydney Road Community School,Secondary,BRUNSWICK,3056,63945.0,BRUNSWICK,25.0,0.0
55,Brunswick Secondary College,Secondary,BRUNSWICK,3056,63945.0,BRUNSWICK,29.0,4.9
56,Coburg High School,Secondary,COBURG,3058,63138.0,COBURG,28.0,3.2
57,Mercy College,Secondary,COBURG,3058,63138.0,COBURG,29.0,6.0
58,John Fawkner Secondary College,Secondary,FAWKNER,3060,52409.0,,,
59,Roxburgh College,Secondary,SOMERTON BC SOMERTON,3062,60269.0,ROXBURGH PARK,24.0,1.4
60,Elevation Secondary College,Secondary,CRAIGIEBURN,3064,54253.0,,,
61,Craigieburn Secondary College,Secondary,CRAIGIEBURN,3064,54253.0,CRAIGIEBURN,22.0,1.1
62,Kolbe Catholic College,Secondary,CRAIGIEBURN,3064,54253.0,GREENVALE,26.0,2.0
63,Academy of Mary Immaculate,Secondary,FITZROY,3065,75116.0,FITZROY,30.0,5.2
64,Fitzroy High School,Secondary,FITZROY NORTH,3068,81381.0,FITZROY NORTH,29.0,3.3
65,Northcote High School,Secondary,NORTHCOTE,3070,74812.0,NORTHCOTE,31.0,6.3
66,Santa Maria College,Secondary,NORTHCOTE,3070,74812.0,NORTHCOTE,31.0,9.7
67,Thornbury High School,Secondary,THORNBURY,3071,66748.0,THORNBURY,30.0,3.6
68,Northern College of the Arts and Technology,Secondary,NORTHLAND,3072,61053.0,,,
69,Preston High School,Secondary,PRESTON,3072,61053.0,,,
70,Reservoir High School,Secondary,RESERVOIR,3073,55362.0,RESERVOIR,28.0,2.7
71,William Ruthven Secondary College,Secondary,RESERVOIR,3073,55362.0,,,
72,Thomastown Secondary College,Secondary,THOMASTOWN,3074,49720.0,THOMASTOWN,24.0,0.7
73,Lalor Secondary College,Secondary,LALOR,3075,50545.0,LALOR,27.0,0.7
74,Peter Lalor Secondary College,Secondary,EPPING,3076,53896.0,,,
75,Epping Secondary College,Secondary,EPPING,3076,53896.0,EPPING,28.0,2.3
76,Lalor North Secondary College,Secondary,EPPING,3076,53896.0,,,
77,St Monica's College,Secondary,EPPING,3076,53896.0,EPPING,28.0,3.5
78,Mill Park Secondary College,Secondary,MILL PARK,3082,56421.0,EPPING,25.0,1.7
79,Bundoora Secondary College,Secondary,BUNDOORA,3083,54536.0,BUNDOORA,25.0,0.0
80,Parade College,Secondary,BUNDOORA,3083,54536.0,BUNDOORA,30.0,3.2
81,Viewbank College,Secondary,VIEWBANK,3084,74543.0,VIEWBANK,30.0,5.3
82,Our Lady of Mercy College,Secondary,HEIDELBERG,3084,74543.0,HEIDELBERG,32.0,11.6
83,Loyola College,Secondary,WATSONIA,3087,64448.0,WATSONIA,30.0,4.9
84,Greensborough Secondary College,Secondary,GREENSBOROUGH,3088,66340.0,,,
85,Diamond Valley College,Secondary,DIAMOND CREEK,3089,66771.0,DIAMOND CREEK,25.0,2.0
86,Montmorency Secondary College,Secondary,MONTMORENCY,3094,68143.0,,,
87,Eltham High School,Secondary,ELTHAM,3095,71820.0,ELTHAM,29.0,5.1
88,St Helena Secondary College,Secondary,ELTHAM NORTH,3095,71820.0,ELTHAM,29.0,5.8
89,Catholic Ladies' College Ltd,Secondary,ELTHAM,3095,71820.0,,,
