,School Name,School Type,Locality,Postcode,Average Income in Postcode ,VCE median study score,Percentage of study scores of 40 and over
0,Stott's Colleges,Secondary,MELBOURNE,3000,48785.0,,
1,Ozford College,Secondary,MELBOURNE,3000,48785.0,21.0,1.2
2,Holmes Secondary College,Secondary,MELBOURNE,3000,48785.0,28.0,1.9
3,Simonds Catholic College,Secondary,WEST MELBOURNE,3003,61806.0,,
4,MacRobertson Girls High School,Secondary,MELBOURNE,3004,77647.0,,
5,Victorian College Of The Arts Secondary School,Secondary,SOUTHBANK,3006,68832.0,,
6,Footscray High School,Secondary,FOOTSCRAY,3011,61098.0,28.0,3.4
7,Williamstown High School,Secondary,WILLIAMSTOWN,3016,84139.0,31.0,10.9
8,Braybrook College,Secondary,BRAYBROOK,3019,48590.0,31.0,9.4
9,Caroline Chisholm Catholic College,Secondary,BRAYBROOK,3019,48590.0,,
10,Sunshine College,Secondary,SUNSHINE,3020,49665.0,,
11,Marian College,Secondary,SUNSHINE WEST,3020,49665.0,,
12,St Albans Secondary College,Secondary,ST ALBANS,3021,46328.0,30.0,7.7
13,Victoria University Secondary College,Secondary,ST. ALBANS,3021,46328.0,,
14,Catholic Regional College,Secondary,ST ALBANS,3021,46328.0,,
15,Lakeview Senior College,Secondary,CAROLINE SPRINGS,3023,58317.0,28.0,5.1
16,Catholic Regional College Caroline Springs,Secondary,CAROLINE SPRINGS,3023,58317.0,,
17,Mount St Joseph Girls' College,Secondary,ALTONA NORTH,3025,66120.0,,
18,Emmanuel College,Secondary,ALTONA NORTH,3025,66120.0,29.0,3.8
19,Hoppers Crossing Secondary College,Secondary,HOPPERS CROSSING,3029,55780.0,,
20,Tarneit Senior College,Secondary,TARNEIT,3029,55780.0,24.0,1.3
21,Thomas Carr College,Secondary,TARNEIT,3029,55780.0,26.0,2.4
22,Wyndham Central Secondary College,Secondary,WERRIBEE,3030,63468.0,,
23,Homestead Senior Secondary College,Secondary,POINT COOK,3030,63468.0,,
24,Werribee Secondary College,Secondary,WERRIBEE,3030,63468.0,30.0,5.6
25,Point Cook Senior Secondary College,Secondary,POINT COOK,3030,63468.0,,
26,Suzanne Cory High School,Secondary,WERRIBEE,3030,63468.0,34.0,19.0
27,MacKillop Catholic Regional College,Secondary,WERRIBEE,3030,63468.0,,
28,Mount Alexander 7-12 College,Secondary,FLEMINGTON,3031,72119.0,,
29,Kensington Community High School,Secondary,FLEMINGTON,3031,72119.0,,
30,Maribyrnong Secondary College,Secondary,MARIBYRNONG,3032,69388.0,,
31,Copperfield College,Secondary,DELAHEY,3037,58983.0,27.0,2.2
32,Catholic Regional College Institute of Training,Secondary,SYDENHAM,3037,58983.0,,
33,Keilor Downs Secondary College,Secondary,TAYLORS LAKES,3038,60255.0,,
34,Taylors Lakes Secondary College,Secondary,TAYLORS LAKES,3038,60255.0,,
35,Catholic Regional College North Keilor,Secondary,TAYLORS LAKES,3038,60255.0,,
36,Buckley Park College,Secondary,ESSENDON,3040,73488.0,30.0,7.3
37,St Columba's College,Secondary,ESSENDON,3040,73488.0,33.0,13.1
38,St Bernard's College,Secondary,ESSENDON,3040,73488.0,30.0,6.0
39,Ave Maria College,Secondary,ABERFELDIE,3040,73488.0,32.0,9.1
40,Strathmore Secondary College,Secondary,STRATHMORE,3041,71870.0,30.0,5.3
41,Rosehill Secondary College,Secondary,NIDDRIE,3042,66384.0,29.0,2.8
42,Essendon Keilor College,Secondary,NIDDRIE,3042,66384.0,,
43,Gladstone Park Secondary College,Secondary,GLADSTONE PARK,3043,59907.0,,
44,Pascoe Vale Girls Secondary College,Secondary,OAK PARK,3046,57071.0,,
45,Glenroy Secondary College,Secondary,GLENROY,3046,57071.0,20.0,0.7
46,Penola Catholic College,Secondary,GLENROY,3046,57071.0,,
47,Hume Central Secondary College,Secondary,DALLAS,3047,43778.0,,
48,St Aloysius College,Secondary,NORTH MELBOURNE,3051,63344.0,32.0,8.8
49,University High School,Secondary,PARKVILLE,3052,61494.0,32.0,13.3
50,Princes Hill Secondary College,Secondary,PRINCES HILL,3054,73916.0,,
51,Sydney Road Community School,Secondary,BRUNSWICK,3056,63945.0,25.0,0.0
52,Brunswick Secondary College,Secondary,BRUNSWICK,3056,63945.0,29.0,4.9
53,Coburg High School,Secondary,COBURG,3058,63138.0,28.0,3.2
54,Mercy College,Secondary,COBURG,3058,63138.0,29.0,6.0
55,John Fawkner Secondary College,Secondary,FAWKNER,3060,52409.0,,
56,Roxburgh College,Secondary,SOMERTON BC SOMERTON,3062,60269.0,,
57,Elevation Secondary College,Secondary,CRAIGIEBURN,3064,54253.0,,
58,Craigieburn Secondary College,Secondary,CRAIGIEBURN,3064,54253.0,22.0,1.1
59,Kolbe Catholic College,Secondary,CRAIGIEBURN,3064,54253.0,,
60,Academy of Mary Immaculate,Secondary,FITZROY,3065,75116.0,30.0,5.2
61,Fitzroy High School,Secondary,FITZROY NORTH,3068,81381.0,29.0,3.3
62,Northcote High School,Secondary,NORTHCOTE,3070,74812.0,31.0,6.3
63,Santa Maria College,Secondary,NORTHCOTE,3070,74812.0,31.0,9.7
64,Thornbury High School,Secondary,THORNBURY,3071,66748.0,30.0,3.6
65,Northern College of the Arts and Technology,Secondary,NORTHLAND,3072,61053.0,,
66,Preston High School,Secondary,PRESTON,3072,61053.0,,
67,Reservoir High School,Secondary,RESERVOIR,3073,55362.0,28.0,2.7
68,William Ruthven Secondary College,Secondary,RESERVOIR,3073,55362.0,,
69,Thomastown Secondary College,Secondary,THOMASTOWN,3074,49720.0,24.0,0.7
70,Lalor Secondary College,Secondary,LALOR,3075,50545.0,27.0,0.7
71,Peter Lalor Secondary College,Secondary,EPPING,3076,53896.0,,
72,Epping Secondary College,Secondary,EPPING,3076,53896.0,28.0,2.3
73,Lalor North Secondary College,Secondary,EPPING,3076,53896.0,,
74,St Monica's College,Secondary,EPPING,3076,53896.0,28.0,3.5
75,Mill Park Secondary College,Secondary,MILL PARK,3082,56421.0,,
76,Bundoora Secondary College,Secondary,BUNDOORA,3083,54536.0,25.0,0.0
77,Parade College,Secondary,BUNDOORA,3083,54536.0,30.0,3.2
78,Viewbank College,Secondary,VIEWBANK,3084,74543.0,30.0,5.3
79,Our Lady of Mercy College,Secondary,HEIDELBERG,3084,74543.0,32.0,11.6
80,Loyola College,Secondary,WATSONIA,3087,64448.0,30.0,4.9
81,Greensborough Secondary College,Secondary,GREENSBOROUGH,3088,66340.0,,
82,Diamond Valley College,Secondary,DIAMOND CREEK,3089,66771.0,25.0,2.0
83,Montmorency Secondary College,Secondary,MONTMORENCY,3094,68143.0,,
84,Eltham High School,Secondary,ELTHAM,3095,71820.0,29.0,5.1
85,St Helena Secondary College,Secondary,ELTHAM NORTH,3095,71820.0,,
86,Catholic Ladies' College Ltd,Secondary,ELTHAM,3095,71820.0,,
87,Kew High School,Secondary,KEW EAST,3102,80461.0,31.0,10.8
88,Balwyn High School,Secondary,BALWYN NORTH,3104,74688.0,33.0,17.5
89,Marcellin College,Secondary,BULLEEN,3105,65723.0,30.0,7.5
90,Templestowe College,Secondary,TEMPLESTOWE LOWER,3107,66472.0,,
91,Doncaster Secondary College,Secondary,DONCASTER,3108,59915.0,30.0,5.5
92,East Doncaster Secondary College,Secondary,DONCASTER EAST,3109,62653.0,,
93,Whitefriars College Inc,Secondary,DONVALE,3111,69823.0,,
94,Warrandyte High School,Secondary,WARRANDYTE,3113,71739.0,27.0,2.3
95,Lynall Hall Community School,Secondary,RICHMOND,3121,80342.0,,
96,Richmond High School,Secondary,RICHMOND,3121,80342.0,,
97,Melbourne Girls College,Secondary,RICHMOND,3121,80342.0,,
