School Name,Education Sector,Postcode,Average Income in Postcode,Median Income in Postcode,Locality,VCE Median Study Score,Percentage of study scores of 40 and over
Stott's Colleges,Independent,3000,48785.0,33314.0,,,
MacRobertson Girls High School,Government,3004,77647.0,62323.0,,,
Victorian College Of The Arts Secondary School,Government,3006,68832.0,55730.0,,,
Caroline Chisholm Catholic College,Catholic,3019,48590.0,44304.0,,,
Marian College,Catholic,3020,49665.0,45673.0,,,
Victoria University Secondary College,Government,3021,46328.0,44109.0,,,
Catholic Regional College,Catholic,3021,46328.0,44109.0,CAROLINE SPRINGS,,
Brookside P-9 College,Government,3023,58317.0,53412.0,,,
Creekside K-9 College,Government,3023,58317.0,53412.0,,,
Catholic Regional College Caroline Springs,Catholic,3023,58317.0,53412.0,,,
Baden Powell P-9 College,Government,3029,55780.0,51336.0,,,
Truganina P-9 College,Government,3029,55780.0,51336.0,,,
Dohertys Creek P-9 College,Government,3029,55780.0,51336.0,,,
Hoppers Crossing Secondary College,Government,3029,55780.0,51336.0,,,
Tarneit P-9 College,Government,3029,55780.0,51336.0,,,
Point Cook Prep - Year 9 College,Government,3030,63468.0,55776.0,,,
Carranballac P-9 College,Government,3030,63468.0,55776.0,,,
Alamanda K-9 College,Government,3030,63468.0,55776.0,,,
Wyndham Central Secondary College,Government,3030,63468.0,55776.0,,,
Homestead Senior Secondary College,Government,3030,63468.0,55776.0,,,
Saltwater P-9 College,Government,3030,63468.0,55776.0,,,
Point Cook Senior Secondary College,Government,3030,63468.0,55776.0,,,
Featherbrook P-9 College,Government,3030,63468.0,55776.0,,,
MacKillop Catholic Regional College,Catholic,3030,63468.0,55776.0,,,
Mount Alexander 7-12 College,Government,3031,72119.0,61738.0,,,
Kensington Community High School,Government,3031,72119.0,61738.0,,,
Maribyrnong Secondary College,Government,3032,69388.0,57047.0,,,
Overnewton Anglican Community College,Independent,3036,65805.0,55726.0,,,
Catholic Regional College Institute of Training,Catholic,3037,58983.0,53275.0,,,
Keilor Downs Secondary College,Government,3038,60255.0,52960.0,,,
Taylors Lakes Secondary College,Government,3038,60255.0,52960.0,,,
Catholic Regional College North Keilor,Catholic,3038,60255.0,52960.0,,,
Lowther Hall Anglican Grammar School,Independent,3040,73488.0,58394.0,,,
Penleigh & Essendon Grammar School,Independent,3042,66384.0,59506.0,,,
Gladstone Park Secondary College,Government,3043,59907.0,55201.0,,,
Pascoe Vale Girls Secondary College,Government,3046,57071.0,51107.0,,,
Glenroy Private,Independent,3046,57071.0,51107.0,,,
Hume Central Secondary College,Government,3047,43778.0,40125.0,,,
Sirius College,Independent,3047,43778.0,40125.0,,,
St Mary's Coptic Orthodox College,Independent,3048,44958.0,42785.0,,,
Princes Hill Secondary College,Government,3054,73916.0,56324.0,,,
Australian International Academy of Education,Independent,3058,63138.0,54676.0,,,
John Fawkner Secondary College,Government,3060,52409.0,46579.0,,,
Elevation Secondary College,Government,3064,54253.0,50768.0,,,
Sophia Mundi Steiner School,Independent,3067,71734.0,62399.0,,,
Victorian School Of Languages,Government,3071,66748.0,56863.0,,,
Northern College of the Arts and Technology,Government,3072,61053.0,53174.0,,,
Preston High School,Government,3072,61053.0,53174.0,,,
St John's College Preston,Independent,3072,61053.0,53174.0,,,
William Ruthven Secondary College,Government,3073,55362.0,50138.0,,,
Peter Lalor Secondary College,Government,3076,53896.0,50226.0,,,
Lalor North Secondary College,Government,3076,53896.0,50226.0,,,
Charles La Trobe P-12 College,Government,3085,69369.0,59404.0,PRESTON,,
Greensborough Secondary College,Government,3088,66340.0,57779.0,,,
Montmorency Secondary College,Government,3094,68143.0,59541.0,,,
Catholic Ladies' College Ltd,Catholic,3095,71820.0,57405.0,,,
Methodist Ladies' College,Independent,3101,86597.0,57562.0,,,
Trinity Grammar School Kew,Independent,3101,86597.0,57562.0,,,
Genazzano FCJ College,Catholic,3101,86597.0,57562.0,,,
Fintona Girls' School,Independent,3103,76768.0,52116.0,,,
Preshil The Margaret Lyttle Memorial School,Independent,3103,76768.0,52116.0,,,
East Doncaster Secondary College,Government,3109,62653.0,50977.0,,,
Whitefriars College Inc,Catholic,3111,69823.0,52564.0,,,
Lynall Hall Community School,Government,3121,80342.0,67857.0,RICHMOND,,
Richmond High School,Government,3121,80342.0,67857.0,,,
Melbourne Girls College,Government,3121,80342.0,67857.0,,,
Brosnan Learning Centre,Catholic,3121,80342.0,67857.0,,,
Swinburne Senior Secondary College,Government,3122,82339.0,59835.0,,,
SEDA College (Victoria),Independent,3123,82326.0,60581.0,,,
Siena College Ltd,Catholic,3124,86333.0,58946.0,,,
Canterbury Girls Secondary College,Government,3126,95165.0,58703.0,,,
Strathcona Baptist Girls' Grammar,Independent,3126,95165.0,58703.0,,,
Camberwell Girls Grammar School,Independent,3126,95165.0,58703.0,,,
Box Hill Senior Secondary College,Government,3129,65418.0,52115.0,,,
Nunawading Christian College-Secondary,Independent,3131,62361.0,53152.0,,,
Mullauna Secondary College,Government,3132,66162.0,56357.0,,,
Yarra Valley Grammar,Independent,3134,63801.0,53640.0,,,
Melbourne Rudolf Steiner School,Independent,3134,63801.0,53640.0,,,
Croydon Community School,Government,3136,61290.0,53705.0,CROYDON,,
Melba Secondary College,Government,3136,61290.0,53705.0,,,
Lauriston Girls' School,Independent,3143,89280.0,65311.0,,,
Mount Waverley Secondary College,Government,3149,66200.0,53424.0,,,
Wheelers Hill Secondary College,Government,3150,63201.0,51446.0,,,
Glen Waverley Secondary College,Government,3150,63201.0,51446.0,,,
Belgrave Heights Christian School,Independent,3160,62287.0,54364.0,,,
Oakwood School,Government,3161,73318.0,53295.0,CAULFIELD NORTH,,
Japanese School of Melbourne,Independent,3162,74695.0,55766.0,,,
Melbourne Montessori School,Independent,3162,74695.0,55766.0,BRIGHTON EAST,,
St James'  College,Catholic,3165,70479.0,58376.0,,,
South Oakleigh Secondary College,Government,3167,61241.0,52222.0,,,
Keysborough Secondary College,Government,3172,53203.0,47426.0,,,
Doveton College,Government,3177,45837.0,45055.0,,,
Prahran High School,Government,3181,78771.0,64803.0,,,
Presentation College Windsor,Catholic,3181,78771.0,64803.0,,,
St Marys College Melbourne,Catholic,3182,69095.0,57970.0,,,
Cheder Levi Yitzchok Inc,Independent,3182,69095.0,57970.0,,,
Adass Israel School,Independent,3185,79823.0,60544.0,ELSTERNWICK,,
Adass Israel School,Independent,3185,79823.0,60544.0,EAST ST KILDA,,
Divrei Emineh,Independent,3185,79823.0,60544.0,,,
Beaumaris Secondary College,Government,3193,88820.0,59796.0,,,
Tombolo Academy,Independent,3193,88820.0,59796.0,,,
Mentone Girls Secondary College,Government,3194,70211.0,59819.0,,,
Patterson River Secondary College,Government,3198,59323.0,54085.0,,,
Mount Erin Secondary College,Government,3199,58074.0,51193.0,,,
Carrum Downs Secondary College,Government,3201,55508.0,52771.0,,,
Our Lady of the Sacred Heart College,Catholic,3204,74927.0,57544.0,,,
Youth2Industry College,Independent,3205,84350.0,66561.0,,,
North Geelong Secondary College,Government,3215,58232.0,51732.0,,,
Kardinia International College,Independent,3215,58232.0,51732.0,,,
Christian College Geelong,Independent,3216,58795.0,50315.0,,,
