Postcode,Median VCE Study Score,Median Percentage of Study Scores over 40
3000,24.5,1.5499999999999998
3011,28.0,3.4
3016,31.0,10.9
3019,31.0,9.4
3021,30.0,7.7
3023,28.0,5.1
3025,29.0,3.8
3029,25.0,1.85
3030,32.0,12.3
3037,27.0,2.2
3040,31.0,8.2
3041,30.0,5.3
3042,29.0,2.8
3046,20.0,0.7
3051,32.0,8.8
3052,32.0,13.3
3056,27.0,2.45
3058,28.5,4.6
3064,22.0,1.1
3065,30.0,5.2
3068,29.0,3.3
3070,31.0,8.0
3071,30.0,3.6
3073,28.0,2.7
3074,24.0,0.7
3075,27.0,0.7
3076,28.0,2.9
3083,27.5,1.6
3084,31.0,8.45
3087,30.0,4.9
3089,25.0,2.0
3095,29.0,5.1
3102,31.0,10.8
3104,33.0,17.5
3105,30.0,7.5
3108,30.0,5.5
3113,27.0,2.3
3121,33.0,16.8
3123,27.0,5.6499999999999995
3126,30.0,5.8
3128,32.0,14.8
3129,32.0,9.0
3130,30.0,7.1
3133,31.0,7.85
3134,30.0,6.3
3135,26.0,2.0
3136,33.0,10.9
3138,26.5,2.1
3140,28.0,2.0
3141,37.0,30.4
3145,31.0,5.9
3147,28.0,2.1
3148,30.0,4.0
3149,31.0,7.1
3150,30.0,7.8500000000000005
3151,25.0,3.7
3152,27.0,4.1
3153,25.0,0.0
3156,32.0,7.9
3158,26.0,3.1
3160,32.0,8.3
3165,29.0,5.5
3169,27.0,3.5
3170,30.5,8.25
3171,31.0,3.7
3174,25.0,1.5
3175,25.0,1.3
3178,25.0,1.9
3179,25.0,1.1
3184,30.0,3.7
3186,34.0,16.9
3187,30.0,9.0
3191,30.0,7.9
3194,31.5,9.5
3195,30.0,6.1
3199,30.0,6.7
3200,26.0,0.0
3204,33.0,17.2
3206,31.0,10.1
3212,25.0,0.0
3216,28.0,4.0
3218,30.0,5.6
3219,26.5,3.1500000000000004
3222,26.0,3.1
3250,24.0,1.1
3260,26.0,1.1
3266,25.0,0.0
3280,26.0,2.7
3300,26.0,2.6
3305,29.0,3.7
3311,33.0,4.2
3337,25.5,3.2
3338,27.0,3.1
3340,24.0,0.8
3350,29.5,4.6
3355,25.0,0.0
3373,28.0,0.0
3377,23.0,0.0
3380,25.0,2.4
3402,28.0,3.3
3429,25.0,1.7
3437,26.0,2.1
3450,28.0,6.5
3460,27.0,2.0
3478,29.0,0.0
3480,28.0,8.8
3496,24.0,0.6
3502,25.0,1.3
3550,29.0,6.2
3561,31.0,4.2
3564,28.0,2.8
3568,27.0,2.7
3579,28.0,6.5
3585,27.5,2.0999999999999996
3630,28.0,4.1
3636,24.0,0.0
3638,28.0,0.0
3644,26.0,0.9
3658,28.0,2.7
3666,27.0,3.3
3676,26.0,3.9
3685,25.0,1.1
3689,29.0,3.2
3700,26.0,0.5
3714,27.0,5.2
3717,26.0,5.0
3724,29.0,1.3
3730,28.0,3.4
3747,29.0,13.7
3756,23.0,1.0
3757,23.0,1.8
3764,28.0,4.0
3777,27.0,1.3
3782,28.0,2.9
3793,27.0,5.6
3797,27.0,1.5
3802,28.0,5.2
3806,31.0,6.050000000000001
3807,29.0,5.9
3809,25.0,1.1
3810,27.0,0.6
3818,27.0,1.5
3820,26.0,0.3
3824,26.0,0.9
3844,27.0,3.5500000000000003
3850,26.5,2.8000000000000003
3860,26.0,2.6
3875,27.0,2.0
3888,29.0,10.4
3910,28.0,3.2
3912,25.0,0.0
3931,28.5,4.55
3936,30.0,5.0
3939,27.0,2.3
3953,27.0,1.9
3960,28.0,5.4
3971,25.0,0.0
3977,27.0,2.9
3995,27.0,4.0
