School Name,Locality_x,Postcode,Average Income in Postcode,Median Income in Postcode,Locality_y,VCE Median Study Score,Percentage of study scores of 40 and over
Stott's Colleges,MELBOURNE,3000,48785.0,33314.0,,,
Ozford College,MELBOURNE,3000,48785.0,33314.0,MELBOURNE,21.0,1.2
Holmes Secondary College,MELBOURNE,3000,48785.0,33314.0,MELBOURNE,28.0,1.9
Simonds Catholic College,WEST MELBOURNE,3003,61806.0,50578.0,FITZROY NORTH,31.0,9.0
MacRobertson Girls High School,MELBOURNE,3004,77647.0,62323.0,,,
Wesley College,MELBOURNE,3004,77647.0,62323.0,MELBOURNE,32.0,10.0
Wesley College,MELBOURNE,3004,77647.0,62323.0,GLEN WAVERLEY,30.0,5.9
Melbourne Grammar School,MELBOURNE,3004,77647.0,62323.0,MELBOURNE,34.0,23.4
Victorian College Of The Arts Secondary School,SOUTHBANK,3006,68832.0,55730.0,,,
Footscray High School,Footscray,3011,61098.0,53073.0,FOOTSCRAY,28.0,3.4
Williamstown High School,WILLIAMSTOWN,3016,84139.0,64270.0,WILLIAMSTOWN,31.0,10.9
Altona College,Altona,3018,71935.0,63268.0,ALTONA,29.0,0.0
Braybrook College,BRAYBROOK,3019,48590.0,44304.0,BRAYBROOK,31.0,9.4
Caroline Chisholm Catholic College,BRAYBROOK,3019,48590.0,44304.0,,,
Sunshine College,SUNSHINE,3020,49665.0,45673.0,SUNSHINE WEST,27.0,2.0
Marian College,SUNSHINE WEST,3020,49665.0,45673.0,,,
St Albans Secondary College,ST ALBANS,3021,46328.0,44109.0,ST ALBANS,30.0,7.7
Victoria University Secondary College,St. Albans,3021,46328.0,44109.0,,,
Catholic Regional College,ST ALBANS,3021,46328.0,44109.0,CAROLINE SPRINGS,,
Catholic Regional College,ST ALBANS,3021,46328.0,44109.0,MELTON WEST,28.0,2.0
Catholic Regional College,ST ALBANS,3021,46328.0,44109.0,SYDENHAM,29.0,3.7
Brookside P-9 College,Caroline Springs,3023,58317.0,53412.0,,,
Creekside K-9 College,Caroline Springs,3023,58317.0,53412.0,,,
Lakeview Senior College,Caroline Springs,3023,58317.0,53412.0,CAROLINE SPRINGS,28.0,5.1
Catholic Regional College Caroline Springs,CAROLINE SPRINGS,3023,58317.0,53412.0,,,
Southern Cross Grammar,CAROLINE SPRINGS,3023,58317.0,53412.0,CAROLINE SPRINGS,29.0,6.4
Manor Lakes P-12 College,Wyndham Vale,3024,58736.0,54108.0,WYNDHAM VALE,23.0,2.1
Bayside P-12 College,ALTONA NORTH,3025,66120.0,58725.0,NEWPORT,29.0,4.0
Mount St Joseph Girls' College,ALTONA NORTH,3025,66120.0,58725.0,ALTONA,31.0,8.6
Emmanuel College,ALTONA NORTH,3025,66120.0,58725.0,ALTONA NORTH,29.0,3.8
Emmanuel College,ALTONA NORTH,3025,66120.0,58725.0,WARRNAMBOOL,27.0,3.1
Laverton P-12 College,Laverton,3028,57827.0,52940.0,LAVERTON,22.0,0.7
Baden Powell P-9 College,HOPPERS CROSSING DC,3029,55780.0,51336.0,,,
Truganina P-9 College,Truganina,3029,55780.0,51336.0,,,
Dohertys Creek P-9 College,Truganina,3029,55780.0,51336.0,,,
Hoppers Crossing Secondary College,HOPPERS CROSSING,3029,55780.0,51336.0,,,
Tarneit Senior College,Tarneit,3029,55780.0,51336.0,TARNEIT,24.0,1.3
Tarneit P-9 College,Tarneit,3029,55780.0,51336.0,,,
Al-Taqwa College,HOPPERS CROSSING,3029,55780.0,51336.0,TRUGANINA,27.0,3.1
Thomas Carr College,TARNEIT,3029,55780.0,51336.0,TARNEIT,26.0,2.4
Islamic College of Melbourne,TARNEIT,3029,55780.0,51336.0,TARNEIT,30.0,5.8
Point Cook Prep - Year 9 College,POINT COOK,3030,63468.0,55776.0,,,
Carranballac P-9 College,Point Cook,3030,63468.0,55776.0,,,
Alamanda K-9 College,POINT COOK,3030,63468.0,55776.0,,,
Wyndham Central Secondary College,WERRIBEE,3030,63468.0,55776.0,,,
Homestead Senior Secondary College,Point Cook,3030,63468.0,55776.0,,,
Saltwater P-9 College,Point Cook,3030,63468.0,55776.0,,,
Werribee Secondary College,WERRIBEE,3030,63468.0,55776.0,WERRIBEE,30.0,5.6
The Grange P-12 College,WERRIBEE,3030,63468.0,55776.0,HOPPERS CROSSING,24.0,1.6
Point Cook Senior Secondary College,Point Cook,3030,63468.0,55776.0,,,
Suzanne Cory High School,Werribee,3030,63468.0,55776.0,WERRIBEE,34.0,19.0
Featherbrook P-9 College,Point Cook,3030,63468.0,55776.0,,,
MacKillop Catholic Regional College,WERRIBEE,3030,63468.0,55776.0,,,
Westbourne Grammar School,WERRIBEE,3030,63468.0,55776.0,TRUGANINA,34.0,15.4
Heathdale Christian College,WERRIBEE,3030,63468.0,55776.0,WERRIBEE,29.0,4.3
Good News Lutheran College,WERRIBEE,3030,63468.0,55776.0,TARNEIT,26.0,0.8
Mount Alexander 7-12 College,FLEMINGTON,3031,72119.0,61738.0,,,
Kensington Community High School,FLEMINGTON,3031,72119.0,61738.0,,,
Maribyrnong Secondary College,MARIBYRNONG,3032,69388.0,57047.0,,,
Overnewton Anglican Community College,KEILOR,3036,65805.0,55726.0,,,
Copperfield College,DELAHEY,3037,58983.0,53275.0,DELAHEY,27.0,2.2
Gilson College,TAYLORS HILL,3037,58983.0,53275.0,TAYLORS HILL,28.0,4.0
Gilson College,TAYLORS HILL,3037,58983.0,53275.0,MERNDA,26.0,6.5
Catholic Regional College Institute of Training,SYDENHAM,3037,58983.0,53275.0,,,
Keilor Downs Secondary College,Taylors Lakes,3038,60255.0,52960.0,,,
Taylors Lakes Secondary College,TAYLORS LAKES,3038,60255.0,52960.0,,,
Catholic Regional College North Keilor,TAYLORS LAKES,3038,60255.0,52960.0,,,
Buckley Park College,ESSENDON,3040,73488.0,58394.0,ESSENDON,30.0,7.3
St Columba's College,ESSENDON,3040,73488.0,58394.0,ESSENDON,33.0,13.1
