School Name,Locality,VCE median study score,Percentage of study scores of 40 and over
Academy of Mary Immaculate,FITZROY,30,5.2
Adass Israel School,ELSTERNWICK,,
Adass Israel School,EAST ST KILDA,,
Advance College of Education,ROSEBUD WEST,,
Aitken College,GREENVALE,29,5.1
Al Siraat College,EPPING,28,1.7
Al-Taqwa College,TRUGANINA,27,3.1
Albert Park College,ALBERT PARK,31,10.1
Albury Wodonga Comm College,WODONGA,,
Alexandra Secondary College,ALEXANDRA,27,5.2
Alia College,HAWTHORN EAST,23,2.6
Alice Miller School,MACEDON,32,9.3
Alkira Secondary College,CRANBOURNE NORTH,30,3.2
Alphington Grammar School,ALPHINGTON,31,4.8
Altona College,ALTONA,29,0
Antonine College,PASCOE VALE SOUTH,27,0.6
Apollo Bay P-12 College,APOLLO BAY,29,1.5
Aquinas College,RINGWOOD,30,6.3
Ararat Secondary College,ARARAT,23,0
Ashwood High School,ASHWOOD,28,2.1
Assumption College,KILMORE,28,4
Auburn High School,HAWTHORN EAST,31,8.7
Australian Internatl Academy,COBURG,26,2.5
Australian Internatl Academy,CAROLINE SPRINGS,27,0
Ave Maria College,ABERFELDIE,32,9.1
Avila College,MOUNT WAVERLEY,31,7.1
Bacchus Marsh College,BACCHUS MARSH,24,0.8
Bacchus Marsh Grammar,BACCHUS MARSH,31,10.1
Baimbridge College,HAMILTON,24,0.7
Bairnsdale Secondary College,BAIRNSDALE,25,1
Balcombe Grammar School,MOUNT MARTHA,30,3.1
Ballarat Christian College,SEBASTOPOL,29,2.4
Ballarat Clarendon College,BALLARAT,38,38.4
Ballarat Grammar,WENDOUREE,32,10.6
Ballarat High School,BALLARAT,28,3.9
Balmoral K-12 Comm College,BALMORAL,,
Balwyn High School,BALWYN NORTH,33,17.5
Bayside Christian College,LANGWARRIN SOUTH,30,5
Bayside P-12 College,NEWPORT,29,4
Bayswater Secondary College,BAYSWATER,25,0
Bayview College,PORTLAND,30,4.2
Beaconhills College,BERWICK,31,6
Beaconhills College,PAKENHAM,30,5
Beaufort Secondary College,BEAUFORT,28,0
Beechworth Secondary College,BEECHWORTH,29,13.7
Belgrave Heights Christian Schl,BELGRAVE HEIGHTS,30,6.3
Bellarine Secondary College,DRYSDALE,26,3.1
Belmont High School,BELMONT,28,6.3
Benalla P-12 College,BENALLA,26,0
Bendigo Senior Sec College,BENDIGO,26,1.9
Bendigo TAFE,BENDIGO,,
Bentleigh Secondary College,BENTLEIGH EAST,29,5.5
Berry Street Victoria,RICHMOND,,
Berwick Grammar School,OFFICER,31,12.7
Berwick Secondary College,BERWICK,31,5.7
Beth Rivkah Ladies College,ST KILDA EAST,37,30.2
Bialik College,HAWTHORN,38,39.9
Billanook College,MOOROOLBARK,31,9.6
Birchip P-12 School,BIRCHIP,28,7
Blackburn High School,BLACKBURN,30,7.1
Boort District P-12 School,BOORT,29,3.7
Boronia K-12 College,BORONIA,23,1.3
Box Hill High School,BOX HILL,32,14.8
Box Hill Institute,BOX HILL,,
Box Hill Institute - CAE campus,MELBOURNE,25,2.2
Box Hill Senior Sec College,MONT ALBERT NORTH,24,1.4
Braemar College,WOODEND,32,12.1
Brauer College,WARRNAMBOOL,28,4.7
Braybrook College,BRAYBROOK,31,9.4
Brentwood Secondary College,GLEN WAVERLEY,30,6.4
Bright P-12 College,BRIGHT,30,2.6
Brighton Grammar School,BRIGHTON,35,25.1
Brighton Secondary College,BRIGHTON EAST,30,9
Broadford Secondary College,BROADFORD,28,2.7
Brunswick Secondary College,BRUNSWICK,29,4.9
Buckley Park College,ESSENDON,30,7.3
Bundoora Secondary College,BUNDOORA,25,0
Camberwell Anglican Girls GS,CANTERBURY,35,19.2
Camberwell Grammar School,CANTERBURY,34,21.4
Camberwell High School,CANTERBURY,30,5.8
Camperdown College,CAMPERDOWN,29,8.1
Cann River P-12 College,CANN RIVER,24,0
Canterbury Girls Sec College,CANTERBURY,33,12.1
Carey Baptist Grammar School,KEW,33,11.9
Caroline Chisholm Catholic Coll,BRAYBROOK,28,4
Carrum Downs Sec College,CARRUM DOWNS,25,0.6
Carwatha College P-12,NOBLE PARK NORTH,27,2.6
Casey Grammar School,CRANBOURNE,30,5.7
Casterton Secondary College,CASTERTON,33,4.2
Castlemaine Secondary College,CASTLEMAINE,28,6.5
Cathedral College,WANGARATTA,29,3.3
Catherine McAuley College,BENDIGO,29,6.2
Catholic College Sale,SALE,28,5.2
Catholic College Wodonga,WODONGA,29,3.2
Catholic Ladies College,ELTHAM,32,9.3
Catholic Regional College,CAROLINE SPRINGS,,
Catholic Regional College,MELTON WEST,28,2
Catholic Regional College,SYDENHAM,29,3.7
Caulfield Grammar School,WHEELERS HILL,34,21.1
Caulfield Grammar School,ST KILDA EAST,35,20.1
Chairo Christian School,DROUIN,29,1.1
Chairo Christian School,NAR NAR GOON,30,2.4
Charles La Trobe P-12 College,PRESTON,,
Charles La Trobe P-12 College,MACLEOD WEST,24,0.5
Charlton College,CHARLTON,31,11.1
Cheltenham Secondary College,CHELTENHAM,29,5.7
Chisholm Institute,FRANKSTON,23,2.5
Chisholm Institute of TAFE,DANDENONG,21,0.9
Christian Brothers' College,ST KILDA EAST,29,4.7
Christian College Institute,WAURN PONDS,30,7.1
Cire Community School,YARRA JUNCTION,,
Clonard College,HERNE HILL,30,5.6
Cobden Technical School,COBDEN,25,0
Cobram Anglican Grammar School,COBRAM,27,1.5
Cobram Secondary College,COBRAM,26,0.9
Coburg High School,COBURG,28,3.2
Cohuna Secondary College,COHUNA,27,2.7
Colac Secondary College,COLAC,24,1.1
Collingwood College,COLLINGWOOD,28,4.5
Copperfield College,DELAHEY,27,2.2
Cornish College,BANGHOLME,29,5.3
Corryong College,CORRYONG,31,9.2
Covenant College,BELL POST HILL,30,8
Craigieburn Secondary College,CRAIGIEBURN,22,1.1
Cranbourne East Sec College,CRANBOURNE EAST,31,8.3
Cranbourne Secondary College,CRANBOURNE,28,2.9
Croydon Community School,CROYDON,,
Damascus College,MOUNT CLEAR,28,2.9
Dandenong High School,DANDENONG,24,1.6
Darul Ulum College of Victoria,FAWKNER,31,14
Daylesford Secondary College,DAYLESFORD,27,2
De La Salle College,MALVERN,30,8.5
Derrinallum P12 College,DERRINALLUM,29,0
Diamond Valley College,DIAMOND CREEK,25,2
Diamond Valley Learn Centre,GREENSBOROUGH,,
Dimboola Memorial Sec College,DIMBOOLA,31,5.9
Djerriwarrh Emp. & Edu. Servic.,MELTON,,
Donald High School,DONALD,28,8.8
Doncaster Secondary College,DONCASTER,30,5.5
Donvale Christian College,DONVALE,32,10
Dromana Secondary College,DROMANA,30,5
Drouin Secondary College,DROUIN,27,1.5
East Doncaster Sec College,DONCASTER EAST,33,13
East Loddon P-12 College,DINGEE,34,13.9
East Preston Islamic College,PRESTON EAST,21,0
Echuca College,ECHUCA,27,2
Edenhope College,EDENHOPE,27,3
Edinburgh College,LILYDALE,30,2.3
Education Centre Gippsland,WARRAGUL,,
Elisabeth Murdoch College,LANGWARRIN,28,3.2
Eltham College,RESEARCH,32,9.3
Eltham High School,ELTHAM,29,5.1
